symbol	TCGA-A2-A0EP-01A	TCGA-A2-A3XS-01A	TCGA-A2-A3XW-01A	TCGA-A2-A3XX-01A	TCGA-A2-A3XY-01A	TCGA-A2-A4S2-01A	TCGA-A7-A4SA-01A	TCGA-A7-A4SE-01A	TCGA-A7-A5ZV-01A	TCGA-A7-A5ZX-01A	TCGA-A8-A08X-01A	TCGA-A8-A09M-01A	TCGA-AQ-A54O-01A	TCGA-B6-A402-01A	TCGA-GM-A2DB-01A	TCGA-GM-A2DF-01A	TCGA-GM-A2DH-01A	TCGA-GM-A2DM-01A	TCGA-GM-A2DN-01A	TCGA-GM-A3XG-01A	TCGA-GM-A3XL-01A	TCGA-GM-A3XN-01A	TCGA-N5-A4RO-01A	TCGA-N9-A4PZ-01A	TCGA-NA-A4QW-01A
F3	5.39798469800672	4.68806620856216	3.91876059996604	4.69719382130943	5.55398356349446	5.04391455755349	6.47743663274027	6.46095379855181	2.32155599837648	6.37562067015497	3.99674792493076	3.0343811407177	2.187527181573	2.34123832370202	4.84129935385487	4.3368893652647	3.65872121829937	6.68137165295265	8.18544525415129	7.01468740065424	4.16623468178566	6.52452466536539	2.58199026561892	3.00953532588204	3.4248252657666
TRIM22	5.96003266485017	4.32745141436324	4.10962643577969	4.24397028269566	6.57163233090535	8.62565078297635	6.03674707191167	6.90766641129336	3.77114144144869	5.13600676074274	4.48679370255962	5.31121499791903	3.62279105534863	2.91188107262511	3.99916226899293	3.84195333504941	7.02801394038566	4.28154893420908	6.67321082473709	4.59180622419041	6.04262603473309	5.87875210644873	-0.27369428813513	3.60641759327228	2.5469911677111
PPM1H	4.31258354959568	5.36688592337564	3.0126165463764	5.50115908386308	4.63753960913807	7.45816346618462	6.92095534774592	4.99333422529409	4.65503697133881	6.22602168089345	3.58354318467615	6.37466965499384	6.37512062284218	7.00202327630928	6.78893623549352	4.99570045090416	6.95487864926855	6.63266538701578	5.19753573590977	5.036507108763	3.58442013851956	4.95096056165332	2.61088333997498	4.92328698512989	3.88522415369403
S100A2	2.85973666852094	5.57363901558707	8.41370854393854	5.93506214249804	4.5300065918998	5.43025154046206	2.36421598973455	7.70962802337326	6.264017779283	5.80961438942581	4.3067378615821	2.33084720793672	3.75301627861615	6.24536361549162	5.30529041563924	5.25520474262946	4.02629812533063	3.40037818738439	7.22757313202693	5.72301793817509	6.43571741386153	3.92389678752074	2.84650690356825	7.45717649116646	3.0133022925996
TNFRSF12A	5.23157833694818	7.58924975189038	5.53458640108462	7.99952588282527	8.61190829476534	6.73244214352237	4.79238836654801	8.94069491273044	7.55700496327693	5.12391950273325	7.08652840152053	3.76951193471247	6.0142009695193	7.82343127070628	8.47058793308945	9.37394329207595	4.37231130120314	5.45863584321431	5.81410337998513	6.35202102828944	5.90212522773418	7.18278566756083	1.86225177851935	7.07536179116338	4.75453338646545
FZD6	4.89754587411109	7.23667928064561	4.69284821773479	5.64976281590052	7.46767916061266	7.13198730865623	3.52901183268515	6.9190144887023	5.1320669788808	5.76759577215802	6.23523453678169	6.34315120610205	4.98140435653867	8.22198057110049	5.22001517760234	5.62498658646589	8.06014391320517	6.95555160514424	6.3218248709324	5.90935545881717	7.09675467711048	4.66643642312771	2.60117500578256	7.09555541885565	2.76004094574567
ESRP2	2.93240445648266	5.56098196223861	5.31608700758702	6.63840125991455	5.11161587878881	5.16307082641894	4.3684689551752	4.23185087261634	3.1303182572191	4.39132719350324	3.74157426155683	4.93621291901466	5.54898732584843	4.37335334276584	5.90000023143124	3.21406429476716	5.48513979224707	5.03156448863259	3.31707673689724	4.75611046838002	3.63688717523235	4.13605195954535	1.04627647794381	4.8223113415599	0.288951746071207
ADM	5.42396548355038	2.83240605619499	6.78625640817988	7.20022433398843	5.58869973826952	6.16306601604429	3.34369237634157	8.8520358880701	9.00879224311272	3.78925765995529	4.93474215563154	1.72815049776675	3.56371751360023	4.85422778181374	8.32006665952879	4.00866594421454	3.6246050346507	6.66724365181688	4.23512460076411	2.34591553852399	4.34980640443572	6.07442155538477	6.75691936133279	6.15580474193083	4.97453027117374
S100A6	9.63093354898574	10.3861681889972	8.89426274226597	8.67320880604321	9.72018566585148	7.43939334241673	5.9635501973246	9.51927611236809	14.3852531979937	8.24435482202666	9.4554428368311	5.43880120868217	9.01515572777409	10.4472359884536	7.62547762471814	10.9461911512554	5.89740694157492	5.73850345107243	7.93608530901561	9.56436639465758	9.85172462054213	8.39593433355529	3.49372169803508	8.67465141912598	5.33924045959889
GLMP	5.39761922322746	7.17253241119162	5.42311582108241	7.98458554899733	5.87009919693977	6.34283821266566	4.96670013664251	7.25337674910663	8.0322524765928	5.79125297114463	5.6572218307969	5.19074356078792	5.60696281529458	6.72235657041886	3.96310530999388	6.19714747656525	5.65015095776418	4.6172663837527	5.4652568742779	5.15781323538856	6.37004567031034	6.36351955831153	5.02341459115307	7.64279723222387	3.72102347257658
ADORA2B	4.20487125564794	6.03165518024165	7.58356981959537	4.97397187720727	4.3897589431416	5.31279001511387	4.35615057489973	7.75132512061919	8.17089633692351	6.12497920668151	4.19800562861275	2.52667972730657	2.42108270992081	8.00738988882471	5.56329846014381	6.29688397803839	3.96473580480489	3.79747185271496	6.79857850296603	5.28647790385386	4.4210732683994	4.61826750419331	5.62258325655143	7.04036034452805	6.32815762913923
S100A10	8.75126690015034	10.1848361680008	8.2315524123349	8.95974542893178	8.77914089971201	6.18763517828763	5.47040460725875	9.74386385891539	10.7798882873216	5.70681633853627	8.93553866838795	5.76283435682549	8.53789289623495	9.26739512040039	9.53264131262165	9.02858884458762	5.84675912461114	6.08621024655703	6.7045727271688	7.03248187754301	7.34127208360364	7.55228969193607	6.80254960302005	7.17584608222849	2.22083481584337
MEST	5.7810781648258	6.59935360218402	3.25149950138224	5.84779817266543	4.82669679859527	6.00862246411956	7.44820564178884	2.78109626334756	0.121749788497687	6.38565857582544	5.7285114100716	5.92294893321652	4.49470771414836	5.43891822362143	7.02119574515358	3.29091244703644	7.71687015859182	3.65932708396969	5.71379049922861	4.92529938787542	6.4352527614666	6.21253501377311	5.37686513360969	8.43614667367905	9.90178741998075
S100A7	5.80093378216691	4.88290972270424	5.19392233150191	3.15723592080272	3.31277834382218	2.10736556187848	2.10736556187848	3.0410064121169	3.35691940580074	2.56653134346717	3.9350578511295	2.10736556187848	2.10736556187848	2.464705223295	2.32472586713317	5.92417405445231	2.53413452561269	2.30382857925842	4.65964076632234	2.55557142990449	4.41389168313014	2.1689602514949	2.36489486296977	3.22463947572855	2.32756546828053
S100A13	7.79751667317826	6.79764259382186	7.10592344602078	8.37215498585655	7.40885484493564	8.27027339899535	6.83526949597728	6.39303850146741	12.6033774483556	8.93328498066121	6.15436634205907	6.98730112702358	10.6513068319709	9.61450106743071	5.67136870152319	8.16046704056176	6.62610339016275	8.51690396668562	8.56962841631811	8.09178823777644	8.35702719747368	9.38951985141603	4.23603836897139	8.75036514878377	6.33755235524143
FAP	5.52787536194894	4.46995534700919	2.93476986843808	3.57911849026554	4.89373707429502	4.64096611793847	4.67534549496847	5.49781810162039	-1.16247651323991	5.80219351958777	5.76660237560969	3.67679097429135	4.22659623643687	3.65564967208007	3.67986843067369	4.31662977785332	3.77514949989049	2.55612709084685	4.36794926464746	2.05907322202818	1.56344657826982	5.5393853635189	2.96465770292079	4.51569361867087	2.83283501758855
SAA1	5.39327403752055	3.61819439162131	2.82372701118227	3.86685247127692	5.94015799016394	4.554468208742	5.96327422322023	5.01908826080119	4.78099937784786	5.37293394879232	2.57965529106151	4.74144047159796	2.46613458784421	2.64528293160134	4.65400247242905	5.62987318983556	2.60998087034463	2.04182554971429	5.18309089985257	6.37236569941786	5.16287191049659	5.45147385732022	0.848569734239312	2.55115667768395	0.639433701088044
MFNG	8.3599827113422	5.19612303421129	6.20520545306015	4.2102982519451	5.61584006043997	5.24291032812257	6.12662401778495	4.31457636748929	2.72944846518978	5.14961601699434	4.71919718274999	4.79002257325907	3.83519429056644	3.25623340492596	3.71678505396748	5.56929250094715	5.69518074330229	4.39362369254248	5.82145797761403	3.98154943578059	4.30596332491257	5.51387715372654	1.47001213216387	3.27919217276767	2.67013846202628
FAT1	6.28503045401915	8.40218124005605	5.32175157257895	8.65652367022637	9.71056416563443	5.87857873282441	7.20600183285997	8.29008277107566	7.26298031563224	8.17122641918136	8.52268061638201	3.13944047001979	3.89578441640728	9.09052569288074	8.58646722013958	7.46599473216065	3.8455306696012	7.08585107356758	9.71405552764317	7.56667930677271	6.56993683382413	7.29863069803366	8.13371120921668	9.17317700384078	8.8985814223211
SYCP2	3.42160763619968	5.6302446477444	2.88942429539279	6.11820646088642	4.28721482384078	5.95653042944424	6.12433600317529	4.31685181938757	1.78124611061514	4.77063481111181	4.23589441734304	5.43534576257197	6.54606017034434	6.35969216465018	2.51428351940886	2.35813104271098	5.50566255012734	3.52329922053986	5.96211664517709	3.48176941871399	2.35743627275361	5.38589196250737	4.24337225088188	3.38008091776596	2.09344480434434
FAT2	2.4856455371695	3.38462587720042	5.58923532717843	3.11997404661126	2.88138781907021	3.32040943981766	3.09301225550978	5.86423290236844	5.19127689089533	4.70092430104521	2.65600552955511	2.38992232383716	2.41876196993266	3.60167542334258	2.82868457027934	3.24198725845997	2.73457352290956	2.37670729622812	3.6015533025107	4.50411230566264	4.35456621425488	3.55852854984054	2.54575832411577	2.63059732076483	2.53693714284499
EFEMP1	6.53365805847424	4.28899538609794	5.16350160805462	2.54687944947824	4.86551533442698	4.63545459370352	5.01378194144926	4.37594200350168	4.56802592857292	6.07165669177514	3.0224836535716	3.79726328949642	5.33868989352696	1.27364763139405	1.19376216492169	5.20441100762704	4.79075031555866	12.0946454881832	5.83708400696595	6.89322119846934	5.41892507935166	6.97965419332288	0.964719499089156	5.65881555648285	2.68285485557452
CAMK2N1	6.13135531978598	6.17025825520531	6.29281340215843	7.15530146404862	4.41287134686633	7.21402879888146	6.40344897526358	4.2925356336057	4.1093690914683	8.15017737014815	3.925197227111	4.32741920698356	4.97296513780709	4.24020494556172	3.1690000049383	4.97059818899196	8.43299083203786	3.4494869614635	6.82527970619928	7.11270784840829	3.13891854399856	5.90883056949643	4.06896853241721	4.34985068407792	3.47220585289056
ADRB2	5.98151204954109	3.3796423031913	8.72012840506689	3.65608270287223	4.37282716981094	4.03235829993908	4.64339826880419	4.52095409565178	3.73316269148281	5.22364660877611	5.01657708593438	3.23573060656406	3.82202528474281	2.87434919443928	3.89057014759804	3.94276619867695	7.51941261536596	4.08795971726124	5.63656113894971	5.24687301927818	3.73780267413954	6.23471590132886	2.95195075048898	3.17165436191588	5.29695205047643
MYL9	4.94506829533135	4.42813668630206	6.29312732948787	6.60545696219058	5.23638806915503	4.24746494487754	4.41764063885249	7.31576002567943	1.48694465345562	5.92680735569222	5.48010577825984	4.19106074288465	4.77358277916448	5.52442096870588	3.75295473931709	4.43479824637865	4.1067846562488	3.43977149553748	5.31693574331385	7.38204761429087	3.80574820573728	5.78006827234949	1.20602076099361	4.86515602415104	5.67396078939408
HOOK1	3.07863774480086	5.4626945071409	2.34629021010641	4.51256345882449	3.11326024290415	4.19042124077563	5.75634551441522	4.75415984843331	0.750903102529476	5.87770431540148	3.56697744791964	6.67729475495075	5.40994911328428	5.61343637676581	4.37732113242333	3.46259894866557	7.55266479938103	5.83922368172321	4.99318502163504	4.56694293938304	4.34874191025693	4.39704015610138	3.57253165483582	3.05471051690147	5.66137531705411
MGST1	8.50414168914475	10.2919361394663	5.67570811791232	8.66382078310262	8.53844441249549	8.88183149530283	8.72809223172671	10.2365047243317	7.78728268848901	9.04512904925079	7.79601361391112	11.1146434086239	5.46652038550151	9.28103527321753	9.63464471933695	8.91932554033061	9.27194009925484	8.68120578816486	8.02489326269299	9.4513609530026	9.257999615137	8.83833273370055	5.88679793747356	5.07891667125153	1.70430976880968
AEBP1	7.13715935631728	6.30620967119967	7.23019171536132	6.23102709738795	7.09744082792923	7.43923263088901	6.50766339061382	8.06507285546627	0.447685860143634	7.47309342562997	8.02091132803269	6.14362710998346	6.31953091943079	5.99621343891085	5.35365808692914	5.97589393888715	5.42626247593124	3.62443549174401	6.26710378904285	5.37015907961246	3.5666759746222	7.75450258134271	4.46284582087809	7.74610694395002	4.68762454294533
BASP1	9.43586548455363	6.57468222063776	7.35042637354416	7.52587266022447	8.54302063390468	8.11988681890434	8.27504962173303	8.11993640403293	3.46362390384456	6.59142741299229	8.30973519285138	6.05555000994519	6.41503704867223	5.1810991852767	6.06020196229941	7.23441827569318	8.12843623674708	10.4240895109074	7.10249482030169	5.31878188701717	6.97681302502023	7.80080064287659	9.30750558021668	11.5014460523863	10.7134200671223
IFITM3	6.92613622621956	6.91494527320175	8.70707229709771	7.84601434496526	9.35505706701258	11.0080353638112	7.32463283841244	10.2389986276621	6.98520912047549	6.72107771057245	7.2831757549746	10.1816695211261	8.76896885559898	6.3869824062968	6.03395936127994	7.74733026873156	5.29951243860554	4.94066630355887	7.6474899380331	6.04285660363425	9.89288221040233	8.38604219332134	6.31387561388512	7.50850035483302	3.84124504284552
