symbol	TCGA-3A-A9IX-01A	TCGA-F2-6879-01A	TCGA-F2-6880-01A	TCGA-F2-A44G-01A	TCGA-F2-A44H-01A	TCGA-FB-A78T-01A	TCGA-FB-AAPY-01A	TCGA-FB-AAQ6-01A	TCGA-H8-A6C1-01A	TCGA-HZ-7924-01A	TCGA-HZ-A49H-01A	TCGA-HZ-A77P-01A	TCGA-IB-7652-01A	TCGA-IB-7885-01A	TCGA-IB-8127-01A	TCGA-IB-A5SS-01A	TCGA-IB-A6UF-01A	TCGA-LB-A8F3-01A	TCGA-Q3-A5QY-01A	TCGA-S4-A8RM-01A
RABGAP1L	5.20362630474648	6.13272137442301	1.8438166154348	3.78659654524604	3.35785102896638	5.2129641379969	4.77412032754142	5.30281249091677	5.85377238030523	6.04922761110928	4.25014091019582	5.10333749658888	6.3974619244437	5.31527936979585	6.30933414240402	6.57383613237415	5.68430802430844	4.91121292327793	5.89737195033074	6.41716221466138
NECTIN2	5.58124295084398	7.90745800328099	1.60184988629182	7.68673011107779	5.36503129253699	6.63359136389812	7.65028490103197	6.00639133809244	6.51567953940051	6.51552865054713	5.2803499065994	5.63581252588045	6.86457847440111	7.06890643789825	7.22489006466348	6.24536397556308	7.04911155980591	7.56751748952226	5.47487622474707	6.31126574092762
NQO1	7.79439965142448	11.7171144751263	1.71200413543014	10.0234348568552	8.3806584974614	10.6751057367782	10.7205651433565	10.7973664747776	9.99192488722011	11.2643577320616	9.20561114475511	9.40616752693532	10.9906642952427	11.1853596922923	11.0236072806744	10.3320800000719	9.08284323727808	10.0397054120525	8.45730915576985	11.5870471620011
NAV2	4.63149659292277	6.21690393396431	2.75201760540515	4.69553590629844	3.79885999559875	4.77883625405067	4.23273797110463	5.04693287759892	4.75008572436943	4.17329815965038	2.85952378244813	5.43690364102698	4.70451719440497	4.13896858922081	6.20424200338084	5.55542594769898	5.57559769939216	3.65204847299544	2.62395569294449	6.06162152428212
PYGL	7.88112465924836	7.07102207504888	3.04459542651843	8.55440797148445	6.75334123211813	6.79963414033969	6.36162254200622	3.25773531453995	7.69660271935332	4.92223290856882	7.71754332483657	7.63563944129002	8.7077834652197	10.3082946132974	7.23967131434471	11.3806116959975	8.71060505437741	6.65542305402225	9.37162445172881	4.52889716764676
TESC	5.44330017219657	6.90044336736249	3.99965765955329	6.75761108249095	6.94118704029369	8.39879676928174	6.85725365912417	7.08225440519273	6.58251737565406	5.48511417589263	7.15189621446161	4.4273818722969	5.10608741678402	5.51259523225332	5.09130855053002	5.11045899322819	4.63813447809428	8.1650403327911	3.9303961531832	8.28887923015649
ST8SIA4	4.41987595606341	3.56693137830861	1.66842875154042	3.20903716777572	3.28198128530238	2.69515367926947	3.24682376823911	2.67007141636724	3.52974094832451	4.11354954354585	3.46121211280974	3.42885931866848	4.1802626272945	3.90799657805222	3.69562593293777	3.5830751255244	2.79864750943415	2.2622696327717	4.83578939206041	2.75652809172155
HS3ST4	2.76298252315115	2.90212752350201	2.76298252315115	2.76298252315115	2.76298252315115	2.82381453344834	2.87040903932447	2.83544557235745	2.80545289908967	3.33234716957461	2.82853751209051	2.86337991172932	3.03318941782332	2.76298252315115	2.81587039059555	2.76298252315115	2.76298252315115	2.76298252315115	2.83575288984725	2.80434540884546
CORO7	4.48282338423969	4.42173402689832	1.66812214300504	5.0259887992079	4.30744965871016	5.61957955161742	5.05291923535441	4.545602432164	5.47961321473969	5.12444894893533	4.60092907024657	5.1013570924145	4.94128128297545	5.80950122853447	4.87125029673336	5.09096232008899	3.95245260706864	4.22646220656951	5.85276536592894	5.32576689735911
KLK1	5.79819867849968	4.04743737763085	6.72043947245866	4.01981119369917	5.9988832434549	5.71861519616395	3.19210686687784	2.81558455724811	3.65038139105826	4.3404852353543	5.73728625045365	4.23305224601708	5.21813314308385	2.38057981818467	4.62620065363075	3.07434018650435	4.45781879942916	6.04874598028363	2.54567571866868	3.34645806995021
