symbol	TCGA.2L.AAQA.01A	TCGA.2L.AAQE.01A	TCGA.2L.AAQI.01A	TCGA.2L.AAQJ.01A	TCGA.3A.A9I9.01A	TCGA.3A.A9IH.01A	TCGA.3A.A9IZ.01A	TCGA.3A.A9J0.01A	TCGA.F2.7273.01A	TCGA.F2.7276.01A	TCGA.F2.A8YN.01A	TCGA.FB.A5VM.01A	TCGA.FB.AAPP.01A	TCGA.HZ.8317.01A	TCGA.HZ.A49G.01A	TCGA.HZ.A77O.01A	TCGA.IB.7644.01A	TCGA.IB.7647.01A	TCGA.IB.7651.01A	TCGA.IB.7889.01A	TCGA.IB.7891.01A	TCGA.IB.A5SO.01A	TCGA.IB.A5SP.01A	TCGA.IB.A7LX.01A	TCGA.IB.AAUO.01A	TCGA.RB.AA9M.01A	TCGA.US.A774.01A	TCGA.XD.AAUI.01A
MYO1F	2.97489851747491	2.83260663096191	3.228733999652	3.20055777201732	3.70017494239016	2.97199313160751	2.64878117412933	3.57265329134346	4.6348352591294	4.6259232999723	3.21309219703674	3.85007048538364	0.829622332604005	2.6704336308899	4.98110805429018	2.98782541839941	3.36480162417869	4.12926092564455	4.25387819106672	3.79973475328467	4.41146185493064	4.22753564036558	3.15705110582677	3.06906456436344	3.8984093964923	3.46534536097097	4.23838410244496	3.7250379443078
CLEC2D	3.65916761705201	4.12589379921763	3.47014913408919	3.22612525439289	2.3395332112098	3.21160057328857	3.41200849348887	3.37349751382971	3.71367222042901	3.93285402781883	3.41483167147353	3.24546017321943	2.65363305151969	2.72238897113494	3.44816444730443	2.58885543860245	3.08995277203601	4.65282730699054	3.91953109524869	3.8121912840983	3.61973187062093	4.08611036101607	2.26061660682696	6.53212333544428	3.54949217820137	3.65976109758423	3.18717307716862	4.26231936333267
CENPV	10.2595035425375	8.35958253431513	7.13690722249308	8.35998606212895	7.83369236810995	7.51506033704795	9.8794152748869	8.28825211490222	5.57675228039145	5.7345087338484	8.63025146930889	7.16842044292854	11.9196166010893	6.11155183404024	6.84915436451287	6.76917801533707	9.91161919776731	7.6181035434815	7.24918497090524	8.55110219593639	7.8978298318703	6.5657113572364	10.5303422376475	9.61795305700232	6.43661144696718	7.49001687146903	7.42498250560781	8.77529156501843
RASEF	6.4485488774633	4.76770901476788	4.87025396964179	5.63390487965546	3.62912663393715	4.87769561708024	6.21122019074623	4.56922170415152	6.18378096656454	5.71277560861703	6.52245779333384	1.33240920419202	5.88424685620558	5.33843402584089	4.47738075983935	3.35131281329977	6.1354036337252	7.41552423355808	4.52201230197857	2.96343502140122	5.80310026348366	5.8344506981018	6.15332549806283	5.12468320453754	3.70981573715945	5.29991914823913	5.23144135597522	4.54457750938113
DHX32	8.64455254736812	9.59018179668734	8.47084193918718	8.53493561607563	6.7889791468022	8.27637335788589	7.92512804356832	7.69149023167304	7.58493710073217	7.84357524761353	9.09184844854462	7.2975682798909	10.0333955761077	6.75386356824811	7.1762683551115	6.5911957487161	9.04119658525708	8.33652568910779	7.94205707435354	8.42592122952953	7.36628417073149	8.1578276766496	5.30538594893237	9.89522648678318	8.88966825690581	8.86089116064587	7.48065363816292	7.91201496427358
TRAF3IP3	2.21007259453307	4.20873286301649	3.05302255071755	3.3596712946627	2.92796260166958	3.10674292878374	2.45859049082947	3.56682580553812	3.94521659957172	4.689333432124	2.65670700330161	4.26536508141668	1.60980234796298	2.30025963826337	3.82375634766759	2.72422209239676	3.08605627568065	4.96958454203378	3.79614794044496	4.40421781719691	4.20538377646283	4.57348779953674	2.50631677444086	2.93968514298246	3.06387349321096	3.79077995037241	4.23805393631043	4.25029635047689
FUCA2	5.75527455665411	6.15215823066212	7.47488082611359	7.44725791534189	5.36567679794672	6.75686841102935	6.92437498805709	7.90982701185278	6.14852433742299	7.49666474551677	7.71670269552949	8.40225319215208	6.85518241189962	6.70836445665684	7.25457024542594	6.3539048027453	6.64546774594579	7.4633553585036	9.1421863721843	6.54506031988377	7.59787926925	7.77659123006803	7.83088282693932	7.520429374638	6.40573323102348	7.33413805039683	7.47137370802248	7.49498637945175
LIMCH1	3.76111046453207	7.2291624832482	7.26119450723295	4.14888575157547	3.41550774253503	7.22462610050418	4.37387024814713	4.41614878835297	6.54451286187219	7.05120886481952	2.49239655061835	2.05995005114117	3.2224935703161	5.71882970245388	5.33134398387414	2.79716988489087	4.37105159427635	6.22841329890209	4.97444215809357	4.77843875587155	5.72820004335736	5.92551042572755	5.38204418928663	5.25337945155735	4.29039594927104	7.56097857423673	4.90566749143239	4.8056936276431
PROSER2	6.08030730793663	8.21416957212301	6.152497730025	6.49443260116855	4.95567867887019	7.55811393890384	7.82109448761075	5.54985468469738	5.93993602573872	6.70589432085114	5.52279673271749	7.74842518732287	1.21991287774449	4.54019478787102	5.7553056665845	5.14892905582623	5.93510612809782	4.99293992211017	6.59395604856323	5.93095449719855	5.36388416503554	5.50127291884558	5.80407523097366	7.21908583840022	6.22208027604829	7.20478576624085	5.43266940965461	5.49341966033364
ATP1B1	8.53782293878733	7.07451443047895	9.03068967218955	8.78103187486631	6.57078662859642	8.96970653586948	9.00726788273154	8.35619507519076	7.61948262771466	7.61898722520127	8.53650309545373	3.87533226847604	10.2505329012143	8.22093991865616	8.47243486518006	6.54023935353091	9.45159972562416	9.51455813181497	8.32617706206248	6.32566037277504	8.60777228022816	8.05198538026596	8.50188587384221	6.95641623974218	6.21856978938289	8.33318149797637	7.96241091136661	8.80426971214146
