symbol	TCGA-3A-A9IC	TCGA-D7-A748	TCGA-HZ-A49I	TCGA-IB-7888	TCGA-OE-A75W	TCGA-VQ-A8DU	TCGA-VQ-A8DZ	TCGA-VQ-AA6F	TCGA-VQ-AA6G
PLCG2	4.81344476907498	5.56547234027846	7.01509227924276	7.23337888789399	3.96890860963512	4.51453951292097	5.35669123553969	6.70332279001355	3.87131031827522
TNFAIP8	4.93345419785091	5.00874247488151	6.1497900137722	7.09888472004314	4.08366580117292	4.83596974632613	3.63319108242509	6.16713660828459	5.05333462001228
BACE2	7.43204087122334	8.5769495924956	6.80928534707801	7.32299402225078	6.35131309511487	6.00001129971641	5.33731975442885	6.82425171164092	8.17506799425027
RBM47	3.41203886520885	4.1639241042879	3.32797743758237	3.94130124602986	2.92084748319655	4.35049184182772	5.70491463055991	6.57914645443881	7.78232330783417
AIM2	2.7371372827325	3.49008758767232	3.2037858277816	6.17687924226051	3.59056370741564	2.64247006639045	2.97132453072828	5.96671153271595	2.7199235300539
PLOD2	10.0455933399324	8.00037409949777	7.5092439371262	9.32129055677598	5.74570565542441	7.60674717639932	8.05508118029082	8.09215860341885	8.34023318851255
HSPA1B	11.1715598001518	7.35600666710142	8.73530257932319	7.28601505229448	8.77062821308469	7.95533739648069	7.7110934869752	8.15527895297533	9.35268455725792
HSPA1A	14.9805324174643	5.68865146275693	9.87449988741335	6.52136958512195	9.43647414156801	8.49069849995422	9.17516616161727	6.4588936816685	10.8584709460882
MLPH	6.72403176398781	5.27447212007797	7.63228294072967	5.86682527114938	7.07357949337572	4.02154780195977	4.24837757991477	6.42950626589399	7.39058428301109
HSPA2	7.32645126470503	3.43940820091004	5.43533488570165	5.73159899819677	4.52716292651486	5.88892338571846	4.49520352881113	5.56699852835509	3.61131048806061
VAV1	4.50415863048057	5.082762035636	5.23373975021354	6.05955039124976	5.33635981822661	2.7270355433472	3.20826800587193	5.97381961743102	2.72308029658017
CNN3	11.1398215502614	9.58197321385561	9.51931607096096	11.7595256437077	7.97620846363359	8.45328409458071	7.13402821394696	8.5278099309391	6.49821367075749
APBB1IP	2.93694227136572	5.55073688445752	4.76480595493063	5.78328270845404	4.15804050936528	3.2096372066941	5.51440511310454	7.30137082859483	3.01190793331892
C16orf54	3.62837809138419	3.2446677061246	3.49123350337949	4.72749075451378	2.32362043574252	2.56857708452896	2.42788356415914	3.73331573810954	2.36629741214578
COL1A2	9.27297668990009	7.09078507385756	5.73074152114084	7.56039656410221	6.5198629667428	5.40152066175549	3.02652159211111	1.8940491982286	2.72727999513729
