symbol	TCGA-CG-4444	TCGA-D7-8579	TCGA-F1-A448	TCGA-FP-7829	TCGA-FP-8209	TCGA-HU-8243	TCGA-KB-A6F7	TCGA-VQ-A8DT	TCGA-VQ-A8E2	TCGA-VQ-A8P3	TCGA-VQ-A91Q	TCGA-VQ-AA68	TCGA-VQ-AA6B
SDC2	4.78204045835613	7.10324205884312	7.18769979057862	7.10964040978581	8.38044284198296	4.2156765517518	3.58894553189826	3.92954781739152	7.40503894279637	4.83394314888393	6.8765248093343	3.43268618529226	4.51361794576788
SDC4	6.16073483865497	8.49979417127288	6.36937797388475	7.79955222584406	7.78153648445265	10.838678588932	10.0438632467599	8.57819314261729	8.28898436915647	4.79491501693961	7.52526793877835	9.07001928387477	7.61368854107825
CAP2	5.79821903663934	8.24374554139013	5.12990004469083	4.43076322956878	10.1285241884259	6.26894417331833	6.60701786877323	4.86604201012281	5.91498491413366	5.57310351838815	4.85155243080627	4.90478603430473	5.53552112967552
FOXC1	5.97081846897536	6.84068808137044	6.21722408463778	6.93063140413587	5.88356822591103	3.4697728747068	4.1297340004866	6.2454640303982	6.75004139160144	5.87511787316482	7.64117785658267	7.15334137453053	5.21003003223833
STEAP1	5.87640779238492	7.5782981740339	6.5372800827619	7.78900825751119	6.40099104898933	6.23086303244603	3.32699086686455	6.71683137501286	4.59002243142811	3.38202280461256	5.3916663821767	7.49277240484221	5.96535590280857
RBM38	6.9071673195538	7.10468227283214	6.81093869374297	7.5815425871637	8.59961523709772	7.98750047507035	7.60461047347611	5.50523616264398	8.52338887502632	5.42084041281932	5.86957750531516	6.9973804301613	7.25797627666622
BAHCC1	3.42792212948687	6.03856987448106	5.885027437911	4.64359443873058	6.6109835497776	3.77576996445024	5.41630866671576	3.68531384542287	6.68556103802069	6.33868408499693	7.54618794460036	3.68952910902753	6.13049781068592
GULP1	6.20666570535931	6.54982814570229	5.39641463983227	6.48627533119234	7.2871889887363	6.64949955997604	5.15028201977644	6.56007343036377	5.64717141372441	7.50137040595219	9.01340652544407	8.07155156691654	6.83530772099407
LRRC8C	5.51616848709295	5.61012063078682	6.25552346858467	5.33579981957804	7.26486153860986	4.90534182973762	5.60122879690769	4.18729847814444	5.7570236140883	4.68437841743629	6.15146915938376	5.42352664437619	4.15136098077434
FLI1	4.1883550265392	5.07060975834507	4.5055700269264	3.41471066295391	6.06769904378507	3.7715225541989	3.66606035569531	2.19249913404611	3.62145843147134	3.41706509781209	3.95404266045817	3.31140153860688	2.85156672627495
TPST1	4.79521894511126	5.50546031050127	5.63352096027219	5.0073868119628	6.36976300405718	6.17296084273511	7.20917076108236	4.52129254128523	7.24815448009332	3.86299317908379	6.06085471644571	4.45193105946789	4.12361432236064
FLNC	5.03699722569904	10.5556975217892	6.451042213742	4.30296417862654	12.0326748141563	3.84070239676533	4.35453760618356	3.96850696284067	7.01045324040082	6.14634436161779	6.45952974523518	5.86333758113052	3.83867256621774
SEMA3C	3.4544349120077	5.81769503887054	3.00807752342242	4.45364226714908	7.13917065741973	3.24377560747782	3.804470562833	4.18950867003306	6.62056383760264	3.23349174203802	5.36805134858387	5.66316190288846	5.16844144321085
LIMA1	8.61416549514334	9.47731870708284	8.68210086059734	9.42759587599886	7.42337777221185	9.39587585579994	8.65706622826885	10.5254382718396	7.42925355426503	6.42968826099873	8.50905571194171	9.68203312856168	8.26874112241659
SHROOM3	5.80433486586886	6.82371293311179	5.81557270116704	8.10459151736167	5.04725427486209	6.23337713947367	6.64672973077413	5.60575728092177	3.65215306693275	4.31065882607408	6.49691258016843	6.78227427469852	5.03912046523346
ATF5	6.09313998534419	5.5212554079901	7.41934143669925	8.17149686105286	5.34781985858226	6.06290944406748	6.06379243305659	6.00279477192576	5.0481161258605	4.40793054798152	6.60444277170674	6.39155033646331	5.15817491275276
ITPRIPL2	5.7942156407836	7.6407204433428	7.45484842957959	6.9017277477183	7.80392409425851	7.30413184607887	5.46344175713017	5.46544075454042	6.43091987115974	6.40055358962729	7.7674349170511	7.54783193036763	5.96417911023048
FN1	6.67653720283601	6.81415757809568	6.21026130377343	7.5030266468458	9.94516907155306	6.33429594617637	7.27184029792481	-0.563160381878135	9.73215885695689	5.90514748921455	7.4672008050543	2.87620390639541	4.65713065184523
PHLDA1	6.1975621142418	5.45603527961415	9.12382254138985	6.75175883853076	8.77546435771282	7.17222890976306	4.68706778233167	4.1796378971209	7.81361228609195	8.27739535848439	8.13081436751907	9.52322961017082	6.05984935118788
BATF	2.69472694045432	4.81825423622378	4.25898244019305	3.05572140332372	4.59842456679182	5.47520253280407	4.98687936654626	5.82008661196562	4.58807163819582	3.10351297433925	2.45189009361756	5.44618240410323	4.22489104547625
EMB	3.13013143277465	2.79596769239469	3.9262866297039	4.01683483411296	5.80960985920132	1.03905753279207	3.88274921014454	2.79093727967864	3.51194004057292	0.980293843183082	6.12086970270753	5.01129907206399	5.54815615550443
GPX8	4.70016902811357	5.45985326470909	6.62215577487315	5.74434286135466	6.32888325461488	4.03209119393416	2.9215823971942	3.08921232610059	6.27407831229389	5.89191634032373	8.16844523243251	4.69411077612258	4.40584735034981
SGK1	9.16494438226433	7.04416025824591	10.1277414287816	6.60225079767599	7.72640127920873	5.94407602156826	10.6141708287553	5.79680974290921	6.42509371382802	8.91374754187137	7.84727667214148	7.31656323590712	3.65277899508722
VASN	4.05795070869561	5.33675602905273	5.96365866648117	6.02768451569434	5.7415938277382	4.82153950540207	5.32297435378067	3.10553448917849	6.51641182057659	4.6579894588825	6.35295182809505	5.60568525177697	3.79531807677639
ANXA2	9.09521624314747	7.75267338672024	7.16588978662489	8.89789783777324	5.37942700967105	7.40459237353915	8.47411655791516	8.55446420567684	7.13835675626714	7.04092070072197	8.25366637238952	9.80384475899494	6.19683062026691
